,date,id,name,layer,parent,fb,title
0,0,17284678,ling kh,0,0,0,title
0,0,17284678,rajandream ma,0,0,0,title
0,0,17284678,rivailler p,0,0,0,title
0,0,17284678,ivens a,0,0,0,title
0,0,17284678,yap sj,0,0,0,title
0,0,17284678,madeira am,0,0,0,title
0,0,17284678,mungall k,0,0,0,title
0,0,17284678,billington k,0,0,0,title
0,0,17284678,yee wy,0,0,0,title
0,0,17284678,bankier at,0,0,0,title
0,0,17284678,carroll f,0,0,0,title
0,0,17284678,durham am,0,0,0,title
0,0,17284678,peters n,0,0,0,title
0,0,17284678,loo ss,0,0,0,title
0,0,17284678,isa mn,0,0,0,title
0,0,17284678,novaes j,0,0,0,title
0,0,17284678,quail m,0,0,0,title
0,0,17284678,rosli r,0,0,0,title
0,0,17284678,nor shamsudin m,0,0,0,title
0,0,17284678,sobreira tj,0,0,0,title
0,0,17284678,tivey ar,0,0,0,title
0,0,17284678,wai sf,0,0,0,title
0,0,17284678,white s,0,0,0,title
0,0,17284678,wu x,0,0,0,title
0,0,17284678,kerhornou a,0,0,0,title
0,0,17284678,blake d,0,0,0,title
0,0,17284678,mohamed r,0,0,0,title
0,0,17284678,shirley m,0,0,0,title
0,0,17284678,gruber a,0,0,0,title
0,0,17284678,berriman m,0,0,0,title
0,0,17284678,tomley f,0,0,0,title
0,0,17284678,dear ph,0,0,0,title
0,0,17284678,wan kl,0,0,0,title
0,0,22457711,rieux a,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,gras s,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,lecaille f,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,niepceron a,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,katrib m,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,smith nc,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,lalmanach g,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,22457711,brossier f,2,0,1,"Eimeripain, a cathepsin B-like cysteine protease, expressed throughout sporulation of the apicomplexan parasite Eimeria tenella."
0,0,18983845,gissot m,2,0,1,New eukaryotic systematics: a phylogenetic perspective of developmental gene expression in the Apicomplexa.
0,0,18983845,kim k,2,0,1,New eukaryotic systematics: a phylogenetic perspective of developmental gene expression in the Apicomplexa.
0,0,18983845,schaap d,2,0,1,New eukaryotic systematics: a phylogenetic perspective of developmental gene expression in the Apicomplexa.
0,0,18983845,ajioka jw,2,0,1,New eukaryotic systematics: a phylogenetic perspective of developmental gene expression in the Apicomplexa.
0,0,29500236,böhme u,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,otto td,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,cotton ja,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,steinbiss s,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,sanders m,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,oyola so,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,nicot a,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,gandon s,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,patra kp,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,herd c,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,bushell e,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,modrzynska kk,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,billker o,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,vinetz jm,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,rivero a,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,newbold ci,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,29500236,berriman m,2,0,1,Complete avian malaria parasite genomes reveal features associated with lineage-specific evolution in birds and mammals.
0,0,21764378,kissinger jc,2,0,1,Genome cartography: charting the apicomplexan genome.
0,0,21764378,debarry j,2,0,1,Genome cartography: charting the apicomplexan genome.
0,0,19778951,templeton tj,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,enomoto s,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,chen wj,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,huang cg,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,lancto ca,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,abrahamsen ms,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,19778951,zhu g,2,0,1,A genome-sequence survey for Ascogregarina taiwanensis supports evolutionary affiliation but metabolic diversity between a Gregarine and Cryptosporidium.
0,0,22768223,su h,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,liu x,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,yan w,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,shi t,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,zhao x,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,blake dp,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,tomley fm,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,22768223,suo x,2,0,1,piggyBac transposon-mediated transgenesis in the apicomplexan parasite Eimeria tenella.
0,0,25015382,reid aj,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,blake dp,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,ansari hr,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,billington k,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,browne hp,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,bryant j,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,dunn m,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,hung ss,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,kawahara f,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,miranda-saavedra d,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,malas tb,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,mourier t,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,naghra h,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,nair m,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,otto td,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,rawlings nd,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,rivailler p,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,sanchez-flores a,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,sanders m,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,subramaniam c,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,tay yl,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,woo y,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,wu x,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,barrell b,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,dear ph,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,doerig c,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,gruber a,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,ivens ac,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,parkinson j,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,rajandream ma,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,shirley mw,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,wan kl,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,berriman m,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,tomley fm,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,25015382,pain a,2,0,1,Genomic analysis of the causative agents of coccidiosis in domestic chickens.
0,0,26354122,blake dp,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,clark el,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,macdonald se,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,thenmozhi v,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,kundu k,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,garg r,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,jatau id,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,ayoade s,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,kawahara f,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,moftah a,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,reid aj,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,adebambo ao,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,álvarez zapata r,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,srinivasa rao as,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,thangaraj k,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,banerjee ps,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,dhinakar-raj g,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,raman m,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,26354122,tomley fm,2,0,1,"Population, genetic, and antigenic diversity of the apicomplexan Eimeria tenella and their relevance to vaccine development."
0,0,28836704,afanador ga,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,guerra aj,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,swift rp,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,rodriguez re,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,bartee d,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,matthews ka,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,schön a,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,freire e,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,freel meyers cl,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,28836704,prigge st,2,0,1,A novel lipoate attachment enzyme is shared by Plasmodium and Chlamydia species.
0,0,21380560,sato s,2,0,1,The apicomplexan plastid and its evolution.
0,0,29194033,zhang z,2,0,1,Immunoproteomic analysis of the protein repertoire of unsporulated Eimeria tenella oocysts.
0,0,29194033,wang s,2,0,1,Immunoproteomic analysis of the protein repertoire of unsporulated Eimeria tenella oocysts.
0,0,29194033,li c,2,0,1,Immunoproteomic analysis of the protein repertoire of unsporulated Eimeria tenella oocysts.
0,0,29194033,liu l,2,0,1,Immunoproteomic analysis of the protein repertoire of unsporulated Eimeria tenella oocysts.
0,0,23411718,rangel lt,2,0,1,The Eimeria transcript DB: an integrated resource for annotated transcripts of protozoan parasites of the genus Eimeria.
0,0,23411718,novaes j,2,0,1,The Eimeria transcript DB: an integrated resource for annotated transcripts of protozoan parasites of the genus Eimeria.
0,0,23411718,durham am,2,0,1,The Eimeria transcript DB: an integrated resource for annotated transcripts of protozoan parasites of the genus Eimeria.
0,0,23411718,madeira am,2,0,1,The Eimeria transcript DB: an integrated resource for annotated transcripts of protozoan parasites of the genus Eimeria.
0,0,23411718,gruber a,2,0,1,The Eimeria transcript DB: an integrated resource for annotated transcripts of protozoan parasites of the genus Eimeria.
0,0,22889016,lim ls,2,0,1,Insights into the genome structure and copy-number variation of Eimeria tenella.
0,0,22889016,tay yl,2,0,1,Insights into the genome structure and copy-number variation of Eimeria tenella.
0,0,22889016,alias h,2,0,1,Insights into the genome structure and copy-number variation of Eimeria tenella.
0,0,22889016,wan kl,2,0,1,Insights into the genome structure and copy-number variation of Eimeria tenella.
0,0,22889016,dear ph,2,0,1,Insights into the genome structure and copy-number variation of Eimeria tenella.
0,0,25142335,heitlinger e,2,0,1,The genome of Eimeria falciformis--reduction and specialization in a single host apicomplexan parasite.
0,0,25142335,spork s,2,0,1,The genome of Eimeria falciformis--reduction and specialization in a single host apicomplexan parasite.
0,0,25142335,lucius r,2,0,1,The genome of Eimeria falciformis--reduction and specialization in a single host apicomplexan parasite.
0,0,25142335,dieterich c,2,0,1,The genome of Eimeria falciformis--reduction and specialization in a single host apicomplexan parasite.
0,0,20199665,essien k,2,0,1,Conservation and divergence of known apicomplexan transcriptional regulons.
0,0,20199665,stoeckert cj jr,2,0,1,Conservation and divergence of known apicomplexan transcriptional regulons.
0,0,29070841,martins rm,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,macpherson cr,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,claes a,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,scheidig-benatar c,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,sakamoto h,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,yam xy,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,preiser p,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,goel s,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,wahlgren m,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,sismeiro o,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,coppée jy,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,29070841,scherf a,2,0,1,An ApiAP2 member regulates expression of clonally variant genes of the human malaria parasite Plasmodium falciparum.
0,0,21525129,pole jc,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,21525129,mccaughan f,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,21525129,newman s,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,21525129,howarth kd,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,21525129,dear ph,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,21525129,edwards pa,2,0,1,Single-molecule analysis of genome rearrangements in cancer.
0,0,24957599,oberstaller j,2,0,1,The Cryptosporidium parvum ApiAP2 gene family: insights into the evolution of apicomplexan AP2 regulatory systems.
0,0,24957599,pumpalova y,2,0,1,The Cryptosporidium parvum ApiAP2 gene family: insights into the evolution of apicomplexan AP2 regulatory systems.
0,0,24957599,schieler a,2,0,1,The Cryptosporidium parvum ApiAP2 gene family: insights into the evolution of apicomplexan AP2 regulatory systems.
0,0,24957599,llinás m,2,0,1,The Cryptosporidium parvum ApiAP2 gene family: insights into the evolution of apicomplexan AP2 regulatory systems.
0,0,24957599,kissinger jc,2,0,1,The Cryptosporidium parvum ApiAP2 gene family: insights into the evolution of apicomplexan AP2 regulatory systems.
0,0,19913037,lindner se,2,0,1,Structural determinants of DNA binding by a P. falciparum ApiAP2 transcriptional regulator.
0,0,19913037,de silva ek,2,0,1,Structural determinants of DNA binding by a P. falciparum ApiAP2 transcriptional regulator.
0,0,19913037,keck jl,2,0,1,Structural determinants of DNA binding by a P. falciparum ApiAP2 transcriptional regulator.
0,0,19913037,llinás m,2,0,1,Structural determinants of DNA binding by a P. falciparum ApiAP2 transcriptional regulator.
0,0,22244352,amiruddin n,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,lee xw,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,blake dp,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,suzuki y,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,tay yl,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,lim ls,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,tomley fm,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,watanabe j,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,sugimoto c,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,22244352,wan kl,2,0,1,Characterisation of full-length cDNA sequences provides insights into the Eimeria tenella transcriptome.
0,0,18541913,de silva ek,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,gehrke ar,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,olszewski k,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,león i,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,chahal js,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,bulyk ml,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,18541913,llinás m,2,0,1,Specific DNA-binding by apicomplexan AP2 transcription factors.
0,0,19888684,lai l,2,0,-1,Complete NMR assignments for the second microneme adhesive repeat (MAR) domain from Eimeria tenella microneme protein EtMIC3.
0,0,19888684,simpson p,2,0,-1,Complete NMR assignments for the second microneme adhesive repeat (MAR) domain from Eimeria tenella microneme protein EtMIC3.
0,0,19888684,bumstead j,2,0,-1,Complete NMR assignments for the second microneme adhesive repeat (MAR) domain from Eimeria tenella microneme protein EtMIC3.
0,0,19888684,tomley f,2,0,-1,Complete NMR assignments for the second microneme adhesive repeat (MAR) domain from Eimeria tenella microneme protein EtMIC3.
